index,pos,driver,gap,time_remaining
1,1,Valtteri,- -,00:12:49
1,2,Lewis,- -,00:12:49
1,3,Alexander,- -,00:12:49
1,4,Max,- -,00:12:49
1,5,Pierre,- -,00:12:49
1,6,Lance,- -,00:12:49
1,7,Lando,- -,00:12:49
1,8,Esteban,- -,00:12:49
1,9,Nico,- -,00:12:49
1,10,Daniel,- -,00:12:49
1,11,Carlos,- -,00:12:49
1,12,Romain,- -,00:12:49
1,13,Charles,- -,00:12:49
1,14,Sebastian,- -,00:12:49
1,15,George,- -,00:12:49
1,16,Daniil,- -,00:12:49
1,17,Kevin,- -,00:12:49
1,18,Nicholas,- -,00:12:49
1,19,Antonio,- -,00:12:49
1,20,Kimi,- -,00:12:49
2,1,Valtteri,- -,00:12:46
2,2,Lewis,- -,00:12:46
2,3,Alexander,- -,00:12:46
2,4,Max,- -,00:12:46
2,5,Pierre,- -,00:12:46
2,6,Lance,- -,00:12:46
2,7,Lando,- -,00:12:46
2,8,Esteban,- -,00:12:46
2,9,Nico,- -,00:12:46
2,10,Daniel,- -,00:12:46
2,11,Carlos,- -,00:12:46
2,12,Romain,- -,00:12:46
2,13,Charles,- -,00:12:46
2,14,Sebastian,- -,00:12:46
2,15,George,- -,00:12:46
2,16,Daniil,- -,00:12:46
2,17,Kevin,- -,00:12:46
2,18,Nicholas,- -,00:12:46
2,19,Antonio,- -,00:12:46
2,20,Kimi,- -,00:12:46
3,1,Valtteri,- -,00:12:40
3,2,Lewis,- -,00:12:40
3,3,Alexander,- -,00:12:40
3,4,Max,- -,00:12:40
3,5,Pierre,- -,00:12:40
3,6,Lance,- -,00:12:40
3,7,Lando,- -,00:12:40
3,8,Esteban,- -,00:12:40
3,9,Nico,- -,00:12:40
3,10,Daniel,- -,00:12:40
3,11,Carlos,- -,00:12:40
3,12,Romain,- -,00:12:40
3,13,Charles,- -,00:12:40
3,14,Sebastian,- -,00:12:40
3,15,George,- -,00:12:40
3,16,Daniil,- -,00:12:40
3,17,Kevin,- -,00:12:40
3,18,Nicholas,- -,00:12:40
3,19,Antonio,- -,00:12:40
3,20,Kimi,- -,00:12:40
4,1,Valtteri,- -,00:12:36
4,2,Lewis,- -,00:12:36
4,3,Alexander,- -,00:12:36
4,4,Max,- -,00:12:36
4,5,Pierre,- -,00:12:36
4,6,Lance,- -,00:12:36
4,7,Lando,- -,00:12:36
4,8,Esteban,- -,00:12:36
4,9,Nico,- -,00:12:36
4,10,Daniel,- -,00:12:36
4,11,Carlos,- -,00:12:36
4,12,Romain,- -,00:12:36
4,13,Charles,- -,00:12:36
4,14,Sebastian,- -,00:12:36
4,15,George,- -,00:12:36
4,16,Daniil,- -,00:12:36
