index,pos,driver,gap,time_remaining
1,1,Nico,1:27.279,00:11:41
1,2,George,+1.163,00:11:41
1,3,Romain,+1.177,00:11:41
1,4,Kevin,+1.519,00:11:41
1,5,Lando,- -,00:11:41
1,6,Charles,- -,00:11:41
1,7,Sebastian,- -,00:11:41
1,8,Antonio,- -,00:11:41
1,9,Kimi,- -,00:11:41
1,10,Lewis,- -,00:11:41
1,11,Valtteri,- -,00:11:41
1,12,Max,- -,00:11:41
1,13,Alexander,- -,00:11:41
1,14,Carlos,- -,00:11:41
1,15,Pierre,- -,00:11:41
1,16,Daniil,- -,00:11:41
1,17,Nicholas,- -,00:11:41
1,18,Lance,- -,00:11:41
1,19,Esteban,- -,00:11:41
1,20,Daniel,- -,00:11:41
2,1,Nico,1:27.279,00:11:36
2,2,George,+1.163,00:11:36
2,3,Romain,+1.177,00:11:36
2,4,Kevin,+1.519,00:11:36
2,5,Lewis,- -,00:11:36
2,6,Lando,- -,00:11:36
2,7,Charles,- -,00:11:36
2,8,Sebastian,- -,00:11:36
2,9,Antonio,- -,00:11:36
2,10,Kimi,- -,00:11:36
2,11,Valtteri,- -,00:11:36
2,12,Max,- -,00:11:36
2,13,Alexander,- -,00:11:36
2,14,Carlos,- -,00:11:36
2,15,Pierre,- -,00:11:36
2,16,Daniil,- -,00:11:36
2,17,Nicholas,- -,00:11:36
2,18,Lance,- -,00:11:36
2,19,Esteban,- -,00:11:36
2,20,Daniel,- -,00:11:36
1,1,Nico,1:27.279,00:11:11
1,2,George,+1.163,00:11:11
1,3,Romain,+1.177,00:11:11
1,4,Kevin,+1.519,00:11:11
1,5,Lewis,- -,00:11:11
1,6,Valtteri,- -,00:11:11
1,7,Lando,- -,00:11:11
1,8,Charles,- -,00:11:11
1,9,Pierre,- -,00:11:11
1,10,Daniil,- -,00:11:11
1,11,Sebastian,- -,00:11:11
1,12,Nicholas,- -,00:11:11
1,13,Antonio,- -,00:11:11
1,14,Kimi,- -,00:11:11
1,15,Max,- -,00:11:11
1,16,Alexander,- -,00:11:11
1,17,Carlos,- -,00:11:11
1,18,Lance,- -,00:11:11
1,19,Esteban,- -,00:11:11
1,20,Daniel,- -,00:11:11
2,1,Nico,1:27.279,00:11:07
2,2,George,+1.163,00:11:07
2,3,Romain,+1.177,00:11:07
2,4,Kevin,+1.519,00:11:07
2,5,Lewis,- -,00:11:07
2,6,Valtteri,- -,00:11:07
2,7,Lando,- -,00:11:07
2,8,Charles,- -,00:11:07
2,9,Pierre,- -,00:11:07
2,10,Daniil,- -,00:11:07
2,11,Sebastian,- -,00:11:07
2,12,Nicholas,- -,00:11:07
2,13,Antonio,- -,00:11:07
2,14,Kimi,- -,00:11:07
2,15,Max,- -,00:11:07
2,16,Alexander,- -,00:11:07
2,17,Carlos,- -,00:11:07
2,18,Lance,- -,00:11:07
2,19,Esteban,- -,00:11:07
2,20,Daniel,- -,00:11:07
3,1,Nico,1:27.279,00:11:02
3,2,George,+1.163,00:11:02
3,3,Romain,+1.177,00:11:02
3,4,Kevin,+1.519,00:11:02
3,5,Lewis,+1.642,00:11:02
3,6,Valtteri,- -,00:11:02
3,7,Lando,- -,00:11:02
3,8,Charles,- -,00:11:02
3,9,Carlos,- -,00:11:02
3,10,Pierre,- -,00:11:02
3,11,Daniil,- -,00:11:02
3,12,Sebastian,- -,00:11:02
3,13,Nicholas,- -,00:11:02
3,14,Antonio,- -,00:11:02
3,15,Kimi,- -,00:11:02
3,16,Max,- -,00:11:02
3,17,Alexander,- -,00:11:02
3,18,Lance,- -,00:11:02
3,19,Esteban,- -,00:11:02
3,20,Daniel,- -,00:11:02
4,1,Nico,1:27.279,00:10:55
4,2,George,+1.163,00:10:55
4,3,Romain,+1.177,00:10:55
4,4,Kevin,+1.519,00:10:55
4,5,Kimi,+1.539,00:10:55
4,6,Antonio,+1.642,00:10:55
4,7,Lewis,- -,00:10:55
4,8,Valtteri,- -,00:10:55
4,9,Lando,- -,00:10:55
4,10,Charles,- -,00:10:55
4,11,Max,- -,00:10:55
4,12,Carlos,- -,00:10:55
4,13,Pierre,- -,00:10:55
4,14,Daniil,- -,00:10:55
4,15,Sebastian,- -,00:10:55
4,16,Nicholas,- -,00:10:55
