index,pos,driver,gap,time_remaining,session,parsed_value,value_type,lap_time_sec,pole_time_sec,gap_to_pole_sec,gap_to_pole_pct,z_score,cluster,is_fastest_cluster,is_outlier,best_lap_time_sec_std,mean_gap_to_pole_pct_std,share_within_0_5pct_std,qr_fitted
1,1,Nico,1:27.279,00:11:41,Q1,87.279,absolute,87.279,86.738,0.5409999999999968,0.6237174018307972,-1.002457077019998,0,0,0,-0.8159002148514155,-0.5239050724400899,-0.10923747516607785,1.679097389378796
1,2,George,+1.163,00:11:41,Q1,1.163,gap,87.981,86.738,1.242999999999995,1.433051257810873,0.024392002498592566,0,0,0,0.661310965559871,0.24313582958241867,-0.4033930544087214,1.89349543827655
1,3,Romain,+1.177,00:11:41,Q1,1.177,gap,87.995,86.738,1.257000000000005,1.4491918190412563,0.044870474169918004,0,0,0,0.02178661306474214,1.0755586283169865,-0.4033930544087214,2.9250647336036746
1,4,Kevin,+1.519,00:11:41,Q1,1.519,gap,88.337,86.738,1.5990000000000038,1.8434826719546265,0.5451302821405134,2,0,0,1.2636798539135718,0.5586844289093638,-0.4033930544087214,1.9702690419556825
1,1,Nico,1:27.279,00:11:11,Q1,87.279,absolute,87.279,86.738,0.5409999999999968,0.6237174018307972,-1.002457077019998,0,0,0,-0.8159002148514155,-0.5239050724400899,-0.10923747516607785,1.679097389378796
1,2,George,+1.163,00:11:11,Q1,1.163,gap,87.981,86.738,1.242999999999995,1.433051257810873,0.024392002498592566,0,0,0,0.661310965559871,0.24313582958241867,-0.4033930544087214,1.89349543827655
1,3,Romain,+1.177,00:11:11,Q1,1.177,gap,87.995,86.738,1.257000000000005,1.4491918190412563,0.044870474169918004,0,0,0,0.02178661306474214,1.0755586283169865,-0.4033930544087214,2.9250647336036746
1,4,Kevin,+1.519,00:11:11,Q1,1.519,gap,88.337,86.738,1.5990000000000038,1.8434826719546265,0.5451302821405134,2,0,0,1.2636798539135718,0.5586844289093638,-0.4033930544087214,1.9702690419556825
1,1,Max,1:27.154,00:08:30,Q1,87.154,absolute,87.154,86.738,0.4159999999999968,0.4796052479881907,-1.1853005740852747,0,0,0,-0.7100634382060851,-0.7250591432201096,0.6235107319871428,1.3667362774733611
1,2,Valtteri,+0.021,00:08:30,Q1,0.021,gap,86.839,86.738,0.10099999999999909,0.11644262030482497,-1.6460661866897686,1,1,0,-1.860756903435007,-2.013861469175051,3.4351842430514847,0.2544197690139056
1,3,Lewis,+0.077,00:08:30,Q1,0.077,gap,86.895,86.738,0.15699999999999648,0.18100486522630968,-1.5641523000045285,1,1,0,-1.7898237446195233,-1.8792760546064902,2.3102273679091856,0.4810164398936566
1,4,Nico,+0.125,00:08:30,Q1,0.125,gap,86.943,86.738,0.2049999999999983,0.23634393230187264,-1.4939403971314598,0,0,0,-0.8159002148514155,-0.5239050724400899,-0.10923747516607785,1.679097389378796
1,5,Pierre,+0.436,00:08:30,Q1,0.436,gap,87.254,86.738,0.5160000000000053,0.5948949710622857,-1.039025776433041,0,0,0,-0.42182711032095527,0.054019664344794154,-0.31843672849984117,2.106700226758785
1,6,Charles,+0.583,00:08:30,Q1,0.583,gap,87.401,86.738,0.6629999999999967,0.7643708639811809,-0.8240018238842883,0,0,0,-0.30698294842923557,-0.3830318715621871,-0.38812962093646325,1.6549990119924165
1,7,Daniil,+0.728,00:08:30,Q1,0.728,gap,87.54599999999999,86.738,0.8079999999999927,0.9315409624385997,-0.6119033672885734,0,0,0,0.6455480413786577,-0.5691136362690346,-0.4033930544087214,1.1249287802574977
1,8,Lando,+0.849,00:08:30,Q1,0.849,gap,87.667,86.738,0.929000000000002,1.0710415273582536,-0.43491086212937197,0,0,0,-0.03788731419272302,0.18272320513484303,-0.4033930544087214,2.095999270909495
1,9,Carlos,+0.951,00:08:30,Q1,0.951,gap,87.76899999999999,86.738,1.0309999999999917,1.1886370448938086,-0.28571056852412136,0,0,0,0.3280377114426986,0.10391248988124763,-0.4033930544087214,1.8847329711538061
1,10,Sebastian,+1.133,00:08:30,Q1,1.133,gap,87.951,86.738,1.2129999999999939,1.3984643408886461,-0.019490436797075426,0,0,0,0.32240809566369727,0.05130538589116994,-0.4033930544087214,1.8366695261800223
1,11,George,+1.288,00:08:30,Q1,1.288,gap,88.106,86.738,1.367999999999995,1.5771634116534796,0.20723549956386944,0,0,0,0.661310965559871,0.24313582958241867,-0.4033930544087214,1.89349543827655
1,12,Romain,+1.302,00:08:30,Q1,1.302,gap,88.12,86.738,1.382000000000005,1.5933039728838627,0.2277139712351946,0,0,0,0.02178661306474214,1.0755586283169865,-0.4033930544087214,2.9250647336036746
1,13,Alexander,+1.328,00:08:30,Q1,1.328,gap,88.146,86.738,1.4080000000000013,1.6232793008831208,0.26574541862476697,0,0,0,-0.30698294842923557,0.11836287792135991,-0.3165522998290342,2.125116412876276
1,14,Kevin,+1.644,00:08:30,Q1,1.644,gap,88.462,86.738,1.7240000000000038,1.987594825797233,0.72797377920579,2,0,0,1.2636798539135718,0.5586844289093638,-0.4033930544087214,1.9702690419556825
1,15,Kimi,+1.664,00:08:30,Q1,1.664,gap,88.482,86.738,1.7439999999999998,2.010652770412045,0.7572287387362282,2,0,0,1.6555011121324188,0.826650921994013,-0.4033930544087214,2.0800002709186565
1,16,Antonio,+1.767,00:08:30,Q1,1.767,gap,88.585,86.738,1.8469999999999942,2.1294011851783465,0.9078917803180081,2,0,0,1.6138419553677643,0.958338115107637,-0.4033930544087214,2.221053323120323
